price,style,link,name
76.80,Imperial IPA,http://www.emporioveredas.com.br/cerveja-mikkeller-100-ibu-imperial-ipa-355ml.html,Cerveja Mikkeller 1000 Ibu Imperial Ipa 355ml
26.00,Saison - ,https://www.wbeer.com.br/cervejas/to-ol-sesson-saison-330ml/prod12760.html,To Øl Sesson Saison - 330ml
20.99,Fruit Beer,http://www.emporioveredas.com.br/cerveja-horny-goat-watermelon-wheat-355ml.html,Cerveja Horny Goat Watermelon Wheat - 355ml
11.50,Pilsner - ,https://www.wbeer.com.br/cervejas/jever-pilsener-330ml/prod14279.html,Jever Pilsener - 330ml
106.80,Outros,http://www.emporioveredas.com.br/cerveja-brew-dog-mix-tape-8-330-ml.html,Cerveja Brewdog Mix Tape 8 330 Ml
60.00,Stout,http://www.emporioveredas.com.br/cerveja-brew-dog-dead-metaphor-330-ml.html,Cerveja Brewdog Dead Metaphor 330 Ml
17.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/therezopolis-jade-600ml/prod14586.html,Therezópolis Jade - 600ml
63.40,Barley wine,http://www.emporioveredas.com.br/cerveja-brew-dog-shiwrecker-circus-330-ml.html,Cerveja Brewdog Shiwrecker Circus 330 Ml
17.00,Witbier - ,https://www.wbeer.com.br/cervejas/therezopolis-or-blanc-600ml/prod14582.html,Therezópolis Or Blanc - 600ml
17.00,Bock - ,https://www.wbeer.com.br/cervejas/therezopolis-rubine-600ml/prod14578.html,Therezópolis Rubine - 600ml
19.50,Lager - ,https://www.wbeer.com.br/cervejas/coruja-baca-500ml/prod14411.html,Coruja Baca - 500ml
19.00,Dortmunder Export - ,https://www.wbeer.com.br/cervejas/961-beer-lager-330ml/prod14467.html,961 Beer Lager - 330ml
21.00,Berliner Weisse - ,https://www.wbeer.com.br/cervejas/to-ol-braziller-weisse-330ml/prod12757.html,To Øl Braziller Weisse - 330ml
19.00,Witbier - ,https://www.wbeer.com.br/cervejas/961-beer-witbier-330ml/prod14468.html,961 Beer Witbier - 330ml
21.00,Saison - ,https://www.wbeer.com.br/cervejas/to-ol-amazaison-330ml/prod12755.html,To Øl Amazaison - 330ml
14.90,American Wheat,http://www.mundodascervejas.com/cerveja-3-lobos-exterminador-355ml.html,Cerveja 3 Lobos Exterminador - 355ml (Val. 30/05/2016)
26.00,Sour - ,https://www.wbeer.com.br/cervejas/to-ol-sur-citra-330ml/prod12759.html,To Øl Sur Citra - 330ml
22.00,,https://www.wbeer.com.br/cervejas/molho-samba-do-crioulo-doido-50ml/prod14042.html,Molho Samba do Crioulo Doido - 50ml
21.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/to-ol-sundowner-330ml/prod12754.html,To Øl Sundowner - 330ml
22.00,Amber Ale - ,https://www.wbeer.com.br/cervejas/caldera-amber-ale-355ml/prod14292.html,Caldera Amber Ale - 355ml
,,https://www.wbeer.com.br/info/clube/,
23.90,Belgian Tripel,http://www.mundodascervejas.com/cerveja-la-corne-triple-10-330ml,Cerveja La Corne Triple 10 - 330ml (Val. 03/10/2016)
28.90,Imperial IPA,http://www.mundodascervejas.com/cerveja-invicta-1000-ibu-500ml,Cerveja Invicta 1000 IBU - 500ml (Val. 01/02/2016)
47.50,Wood-Aged Beer,http://www.mundodascervejas.com/cerveja-harviestoun-ola-dubh-12-330ml,Cerveja Harviestoun Ola Dubh 12 - 330ml (Val. 28/02/2017)
22.50,German Weizen,http://www.mundodascervejas.com/cerveja-erdinger-weissbier-500ml,Cerveja Erdinger Weissbier - 500ml (Val. 01/02/2016)
18.50,Belgian Blond Ale,http://www.mundodascervejas.com/cerveja-la-corne-blonde-330ml,Cerveja La Corne Blonde - 330ml (Val. 30/10/2016)
18.00,,http://www.mundodascervejas.com/cerveja-petrus-oud-bruin-330ml,Cerveja Petrus Oud Bruin - 330ml (Val. 04/09/2016)
25.60,Belgian Blond Ale,http://www.mundodascervejas.com/cerveja-la-trappe-blond-330ml-val-30082016,Cerveja La Trappe Blond - 330ml (Val. 01/09/2017)
22.99,India Pale Ale,http://www.emporioveredas.com.br/cerveja-horny-goat-tango-delta-tangerine-ipa-375ml.html,Cerveja Horny Goat Tango Delta Tangerine Ipa 375ml
11.90,,http://www.mundodascervejas.com/cerveja-schofferhofer-grapefruit-hefeweizen-330ml,Cerveja Schofferhofer Grapefruit Hefeweizen - 330ml (Val. 11/06/2016)
9.50,,http://www.mundodascervejas.com/cerveja-dab-original-330ml.html,Cerveja DAB Original - 330ml (Val. 21/11/2015)
27.90,Northern English Brown Ale,http://www.mundodascervejas.com/cerveja-newcastle-brown-ale-550ml,Cerveja Newcastle Brown Ale - 550ml (Val. 31/07/2016)
55.00,Saison - ,https://www.wbeer.com.br/cervejas/worthy-farm-out-saison-650ml/prod14327.html,Worthy Farm Out Saison - 650ml
19.50,Belgian Dubbel,http://www.mundodascervejas.com/cerveja-chimay-red-330ml,Cerveja Chimay Red - 330ml (Val. 30/12/2018)
72.00,Barley Wine - ,https://www.wbeer.com.br/cervejas/mikkeller-3floyds-corn-majsgoop-beer-750ml/prod11395.html,Mikkeller 3Floyds Corn Majsgoop Beer - 750ml
25.90,Premium Bitter,http://www.mundodascervejas.com/cerveja-fullers-london-pride-500ml.html,Cerveja Fuller's London Pride - 500ml (Val. 21/12/2015)
12.50,German Weizen,http://www.mundodascervejas.com/cerveja-franziskaner-hefe-weissbier-500ml.html,Cerveja Franziskaner Hefe-Weissbier - 500ml (Val. 01/01/2016)
55.00,Marzen - ,https://www.wbeer.com.br/cervejas/oktoberbox-wbeer-hb-oktoberfest-caneca-hb/prod14885.html,Oktoberbox WBeer: HB Oktoberfest + Caneca HB
19.50,Black IPA,http://www.mundodascervejas.com/cerveja-invicta-black-cat-500ml,Cerveja Invicta Black Cat - 500ml (Val. 27/02/2016)
18.00,American Pale Ale - ,https://www.wbeer.com.br/cervejas/buxton-jaw-gate-330ml/prod12615.html,Buxton Jaw Gate - 330ml
19.00,Porter - ,https://www.wbeer.com.br/cervejas/961-beer-porter-330ml/prod14470.html,961 Beer Porter - 330ml
72.00,Russian Imperial Stout - ,https://www.wbeer.com.br/cervejas/mikkeller-black-imperial-stout-tequila-speyside-barrel-aged-edition-375ml/prod11389.html,Mikkeller Black Imperial Stout Tequila/Speyside Barrel Aged Edition - 375ml
69.00,,https://www.wbeer.com.br/cervejas/wbeerbox-kloster-e-aecht-caneca-mass-krug/prod14841.html,WBeerbox -  Kloster e Aecht + Caneca Mass Krug
94.00,Lambic Fruit - ,https://www.wbeer.com.br/cervejas/mikkeller-spontan-frederiksdal-aged-in-malaga-wine-barrels-375ml/prod11407.html,Mikkeller Spontan Frederiksdal aged in Malaga Wine Barrels - 375ml
135.00,Sour - ,https://www.wbeer.com.br/cervejas/mikkeller-mad-beer-sur-750ml/prod12853.html,Mikkeller Mad Beer Sur - 750ml
270.00,Gueuze - ,https://www.wbeer.com.br/cervejas/lindemans-mikkeller-spontanbasil-750ml/prod14373.html,Lindemans / Mikkeller Spontanbasil  - 750ml
54.60,Russian Imperial Stout,http://www.mundodascervejas.com/cerveja-colorado-ithaca-600ml,Cerveja Colorado Ithaca - 600ml (Val. 12/07/2017)
13.50,Foreign Extra Stout,http://www.mundodascervejas.com/cerveja-baden-baden-stout-600ml.html,Cerveja Baden Baden Stout - 600ml (Val. 09/12/2015)
25.90,,http://www.mundodascervejas.com/cerveja-bodebrown-cacau-ipa-300ml.html,Cerveja Bodebrown/Stone Cacau IPA - 300ml (Val. 16/03/2016)
17.00,Sidra - ,https://www.wbeer.com.br/cervejas/magners-pear-330ml/prod13133.html,Magners Pear - 330Ml
20.50,Stout - ,https://www.wbeer.com.br/cervejas/buxton-stronge-extra-stout-330ml/prod12621.html,Buxton Stronge Extra Stout - 330ml
27.90,Old Ale,http://www.mundodascervejas.com/cerveja-fullers-1845-500ml,Cerveja Fuller's 1845 - 500ml (Val. 05/07/2016)
24.00,Grisette  - ,https://www.wbeer.com.br/cervejas/to-ol-fuck-art-the-heathens-are-coming-330ml/prod12896.html,To Øl Fuck Art The Heathens are Coming - 330ml
24.00,Session Ipa - ,https://www.wbeer.com.br/cervejas/to-ol-hundelufterbajer-330ml/prod12897.html,To Øl Hundelufterbajer - 330ml
24.00,Imperial Black IPA - ,https://www.wbeer.com.br/cervejas/to-ol-black-malts-and-body-salts-330ml/prod12503.html,To Øl Black Malts And Body Salts - 330ml
27.50,Old Ale,http://www.mundodascervejas.com/cerveja-strong-suffolk-vintage-ale-500ml,Cerveja Strong Suffolk Vintage Ale - 500ml (Val. 01/04/2016)
28.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/mikkeller-single-hop-ipa-chinook-330ml/prod11402.html,Mikkeller Single Hop IPA Chinook - 330ml
25.50,Belgian Strong Ale - ,https://www.wbeer.com.br/cervejas/struise-westoek-xx-330ml/prod12097.html,Struise Westoek XX - 330ML
28.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/mikkeller-single-hop-ipa-centennial-330ml/prod11399.html,Mikkeller Single Hop IPA Centennial - 330ml
19.50,Helles Bock - ,https://www.wbeer.com.br/cervejas/coruja-strix-500ml/prod13776.html,Coruja Strix - 500ml
28.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/mikkeller-single-hop-ipa-nelson-sauvin-330ml/prod11403.html,Mikkeller Single Hop IPA Nelson Sauvin - 330ml
18.00,Dubbel - ,https://www.wbeer.com.br/cervejas/affligem-dubbel-300ml/prod14550.html,Affligem Dubbel - 300ml
26.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/to-ol-sur-amarillo-330ml/prod12510.html,To Øl Sur Amarillo - 330ml
28.00,Fruit Beer - ,https://www.wbeer.com.br/cervejas/mikkeller-citrus-dream-330ml/prod11390.html,Mikkeller Citrus Dream - 330ml
21.00,Berliner Weisse - ,https://www.wbeer.com.br/cervejas/to-ol-likeweisse-330ml/prod12899.html,To Øl LikeWeisse - 330ml
72.00,Porter - ,https://www.wbeer.com.br/cervejas/mikkeller-mad-beer-sod-750ml/prod12854.html,Mikkeller Mad Beer Sød -750ml
21.00,Glúten Free - ,https://www.wbeer.com.br/cervejas/to-ol-mikropolis-sem-gluten-330ml/prod12509.html,To Øl Mikropolis (sem glutén) - 330ml
53.00,Imperial IPA - ,https://www.wbeer.com.br/cervejas/hop-valley-alpha-centauri-imperial-ipa-650ml/prod14288.html,Hop Valley Alpha Centauri Imperial Ipa - 650ml
72.00,Belgian Dark Strog ale - ,https://www.wbeer.com.br/cervejas/mikkeller-monk-s-brew-red-white-wine-and-raspberry-barrel-aged-edition-375ml/prod11419.html,Mikkeller Monk's Brew Red/White Wine and Raspberry Barrel Aged Edition - 375ml
55.00,Imperial IPA - ,https://www.wbeer.com.br/cervejas/worthy-imperial-ipa-650ml/prod14329.html,Worthy Imperial Ipa - 650ml
55.00,Imperial Red Ale - ,https://www.wbeer.com.br/cervejas/worthy-eruption-imperial-red-ale-650ml/prod14328.html,Worthy Eruption Imperial Red Ale - 650ml
56.00,Spice/Herb - ,https://www.wbeer.com.br/cervejas/caldera-ginger-beer-650ml/prod14297.html,Caldera Ginger Beer - 650ml
54.00,Porter - ,https://www.wbeer.com.br/cervejas/hop-valley-vanilla-infused-porter-vip-650ml/prod14272.html,Hop Valley Vanilla Infused Porter VIP - 650ml
26.00,Spice/Herb - ,https://www.wbeer.com.br/cervejas/birra-del-borgo-genziana-330ml/prod13643.html,Birra del Borgo Genziana - 330ml
26.00,Belgian Ale - ,https://www.wbeer.com.br/cervejas/birra-del-borgo-maledetta-330ml/prod13641.html,Birra del Borgo Maledetta - 330ml
16.00,Premium Lager - ,https://www.wbeer.com.br/cervejas/tennents-1885-330ml/prod14556.html,Tennents 1885 - 330ml
19.50,Maibock - ,https://www.wbeer.com.br/cervejas/les-trois-mousquetaires-s-s-maibock-375ml/prod12769.html,Les Trois Mousquetaires S.S Maibock - 375ml
16.00,Premium Lager - ,https://www.wbeer.com.br/cervejas/tennent-s-original-export-lager-500ml/prod14555.html,Tennent's Original Export Lager - 500ml
19.50,Altbier - ,https://www.wbeer.com.br/cervejas/les-trois-mousquetaires-sticke-alt-375ml/prod12768.html,Les Trois Mousquetaires Sticke Alt - 375ml
39.30,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brewdog-hoppy-christmans-ipa-355ml.html,Cerveja Brewdog Hoppy Christmans Ipa 355ml
16.00,Blond Ale - ,https://www.wbeer.com.br/cervejas/affligem-blond-300ml/prod14549.html,Affligem Blond - 300ml
23.60,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-adnams-jack-brand-mosaic-pale-ale-330ml.html,Cerveja Adnams Jack Brand Mosaic Pale Ale 330ml
35.90,Saison,http://www.emporioveredas.com.br/cerveja-brewdog-electric-india-saison-330ml.html,Cerveja Brewdog Electric India Saison - 330ml
23.50,American Pale Ale - ,https://www.wbeer.com.br/cervejas/worthy-pale-ale-355ml/prod14325.html,Worthy Pale Ale - 355ml
19.50,Kellerbier - ,https://www.wbeer.com.br/cervejas/les-trois-mousquetaires-s-s-kellerbier-375ml/prod12763.html,Les Trois Mousquetaires S.S Kellerbier - 375ml
24.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/worthy-ipa-355ml/prod14323.html,Worthy Ipa - 355ml
24.00,Porter - ,https://www.wbeer.com.br/cervejas/caldera-pilot-rock-porter-355ml/prod14294.html,Caldera Pilot Rock Porter - 355ml
70.70,Imperial Stout,http://www.emporioveredas.com.br/cerveja-brew-dog-o-w-r-imperial-stout-660-ml.html,Cerveja Brewdog Old World Russian Imperial Stout 660ml
24.00,Kölsch - ,https://www.wbeer.com.br/cervejas/worthy-easy-day-kolsch-355ml/prod14326.html,Worthy Easy Day Kolsch - 355ml
31.80,Pumpkin Ale,http://www.emporioveredas.com.br/cerveja-brew-dog-pumpkin-head-330-ml.html,Cerveja Brewdog Pumpkin Head 330 Ml
24.00,German pilsner - ,https://www.wbeer.com.br/cervejas/hopvalley-541-american-lager-355ml/prod14269.html,Hopvalley 541 American Lager - 355ml
45.50,Pumpkin Ale,http://www.emporioveredas.com.br/cerveja-shipyard-smashed-pumpkin-650ml.html,Cerveja Shipyard Smashed Pumpkin 650ml
20.00,Marzen - ,https://www.wbeer.com.br/cervejas/hb-oktoberfest-500ml/prod14852.html,HB Oktoberfest -500ml
24.00,Blond Ale - ,https://www.wbeer.com.br/cervejas/hopvalley-double-d-blonde-355ml/prod14270.html,Hopvalley Double D Blonde - 355ml
20.00,Red Ale - ,https://www.wbeer.com.br/cervejas/961-beer-red-ale-330ml/prod14469.html,961 Beer Red Ale - 330ml
20.00,Weiss - ,https://www.wbeer.com.br/cervejas/erdinger-oktoberfest-500ml/prod14849.html,Erdinger Oktoberfest - 500ml
28.70,Porter,http://www.emporioveredas.com.br/cerveja-brew-dog-brixton-porter-330-ml.html,Cerveja Brewdog Brixton Porter 330 Ml
25.00,Weiss - ,https://www.wbeer.com.br/cervejas/providencia-weizen-500ml/prod14501.html,Providência Weizen - 500ml
25.00,Dunkel - ,https://www.wbeer.com.br/cervejas/providencia-dunkel-500ml/prod14500.html,Providência Dunkel - 500ml
35.10,Pumpkin Ale,http://www.emporioveredas.com.br/cerveja-shipyard-smashed-pumpkin-650ml-1788.html,Cerveja Shipyard Smashed Pumpkin 330ml
15.70,Schwarzbier,http://www.emporioveredas.com.br/cerveja-kostritzer-schwarzbier-500ml.html,Cerveja Kostritzer Schwarzbier 500ml
26.00,Quadruppel - ,https://www.wbeer.com.br/cervejas/to-ol-fuck-art-this-is-advertising-330ml/prod12508.html,To Øl Fuck Art This is Advertising - 330ml
20.00,Tripel - ,https://www.wbeer.com.br/cervejas/affligem-tripel-300ml/prod14551.html,Affligem Tripel - 300ml
26.00,India Pale Ale - ,https://www.wbeer.com.br/cervejas/to-ol-insane-in-the-grain-330ml/prod12898.html,To Øl Insane In the Grain - 330ml
23.00,Saison - ,https://www.wbeer.com.br/cervejas/aviator-saison-de-aviator-355ml/prod14311.html,Aviator Saison De Aviator - 355ml
23.00,Kellerbier - ,https://www.wbeer.com.br/cervejas/alpirsbacher-kloster-zwickel-500ml/prod14540.html,Alpirsbacher Kloster Zwickel - 500ml
22.50,India Pale Ale - ,https://www.wbeer.com.br/cervejas/sierra-nevada-torpedo-extra-ipa-355ml/prod13949.html,Sierra Nevada Torpedo Extra IPA - 355ml
23.00,Dunkel - ,https://www.wbeer.com.br/cervejas/alpirsbacher-dunkel-500ml/prod14537.html,Alpirsbacher Dunkel - 500ml
22.00,Vienna Lager - ,https://www.wbeer.com.br/cervejas/primator-polotmavy-13-500ml/prod14301.html,Primátor Polotmavy 13º - 500ml
23.60,Pale Ale   ,http://www.emporioveredas.com.br/cerveja-adnams-explorer-pale-ale-500ml.html,Cerveja Adnams Explorer Pale Ale 500ml
28.20,India Pale Ale,http://www.emporioveredas.com.br/cerveja-brew-dog-russian-doll-ipa-330ml.html,Cerveja Brewdog Russian Doll Ipa 330ml
28.00,Premium Lager - ,https://www.wbeer.com.br/cervejas/mikkeller-american-dream-330ml/prod11387.html,Mikkeller American Dream - 330ml
9.99,Pilsner,http://www.emporioveredas.com.br/cerveja-bitburger-premium-pils-500ml-1882.html,Cerveja Bitburger Premium 330ml
30.90,India Pale Ale,http://www.emporioveredas.com.br/cerveja-rogue-brutal-ipa-355ml.html,Cerveja Rogue Brutal Ipa 355ml
10.62,Pilsner,http://www.emporioveredas.com.br/cerveja-bitburger-premium-330ml.html,Cerveja Bitburger Premium 500ml
23.99,Sem Glúten,http://www.emporioveredas.com.br/cerveja-glutenberg-blond-sem-gluten-473ml.html,Cerveja Glutenberg India Pale Ale Sem Glúten - 473ml
25.90,India Pale Ale,http://www.emporioveredas.com.br/cerveja-anderson-valley-spring-hornin-ipa-355ml.html,Cerveja Anderson Valley Spring Hornin Ipa 355ml
29.50,Belgian Strong Ale - ,https://www.wbeer.com.br/cervejas/baladin-super-bitter-330ml/prod13334.html,Baladin Super Bitter - 330ml
25.70,India Pale Ale,http://www.emporioveredas.com.br/cerveja-sierra-nevada-torpedo-extra-ipa-355ml.html,Cerveja Sierra Nevada Torpedo Extra Ipa - 355ml
